Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
mietelausemagneetti linnapaperi 7,Kirja-paperi-lehdet:3094,Toimistotarvikkeet:4305,Laskimet:4364,,0.0,,,,,,,
kortti jl,Kirja-paperi-lehdet:3094,Kortit ja lahjapaketointi:14023,Muut kortit:14035,,0.0,,,,,,,
paristo litium cr2032,Valo ja sähkö:2581,Paristot ja akut:3279,Nappiparistot:12453,,0.0,,,,,,,
pop of passion huulib.,Juomat:994,Oluet:1041,Ale olut:2960,,0.0,,,,,,,
kouluvihko a4/40 7x7,Kirja-paperi-lehdet:3094,Paperit ja vihkot:4304,,,0.0,,,,,,,
weldtite vaseliinituubi 40 g,Urheilu:3096,Pyöräily:3205,Pyöräilytarvikkeet:4548,,0.0,,,,,,,
flexi neon reflect l/50kg 5m nauha,Lemmikit:1337,Koiratarvikkeet:1376,Talutushihnat:1382,,0.0,,,,,,,
hhc 180g täyt purutikku 13cm 5kpl,Lemmikit:1337,Koiranruoat:1338,Koiran ajanvietetuotteet:1361,,0.0,,,,,,Herkkuluut:1363,
alu trays grill 28x22 cm,Keittiö:1448,Alumiinifoliot ja -vuoat:1457,Foliovuoat:1459,,0.0,,,,,,,
kirjolohifilee c,Kala:262,Kalatiski:263,Kalafile tuore palvelu:264,,0.0,,,,,,Kirjolohifile tuore palvelu:266,
eskimo 28cm 3kpl gril-ja paistvuok,Keittiö:1448,Alumiinifoliot ja -vuoat:1457,Foliovuoat:1459,,0.0,,,,,,,
rucola,Hedelmät ja vihannekset:1,Vihannekset:40,Salaatit:49,,0.0,,,,,,Erikoissalaatit:11787,
lähi-kaurasämpylät 5 kpl,Leipä:701,Tuore leipä:702,Sämpylät:708,,0.0,,,,,,,
creme brule vanukas,,,,,,,,,,,,
pure olive oil  85/15,,,,,,,,,,,,
vuohenjuustopatonki,Leipä:701,Kaupan paistopiste:717,Välipalatuotteet:12530,,0.0,,,,,,,
ristikko leijona,Kirja-paperi-lehdet:3094,Lehdet:4299,Aikakauslehdet:4316,,0.0,,,,,,,
ilta-sanomat oheistuote sanomal,Kirja-paperi-lehdet:3094,Lehdet:4299,Iltapäivälehdet:4318,,0.0,,,,,,,
hopping 330ml 5,Juomat:994,Oluet:1041,Ale olut:2960,,0.0,,,,,,,
garbage bag black 30l,Koti ja siivous:1521,Jätteiden käsittely:1583,Sekajäte:1585,,0.0,,,,,,,
b&j 500ml cookie dough s'wich up,Terveystuotteet:12129,Ravintolisät:12480,Mineraalivalmisteet:12484,,0.0,,,,,,,
granaattiomena,Hedelmät ja vihannekset:1,Hedelmät:2,Muut hedelmät:32,,0.0,,,,,,Erikoishedelmät:12039,
libresse 16kpl ultra normal,Hygienia:1612,Intiimihygienia:2069,Siivettömät ohutsiteet:3037,,0.0,,,,,,,
lu 400g tuc partymix,Leipä:701,Keksit:767,Voileipä- ja suolakeksit:770,,0.0,,,,,,,
kn n700g savuklf vak,Kala:262,Savukalat:324,Lämminsavu-/hiillostettu kala:326,,0.0,,,,,,,
paprika,Hedelmät ja vihannekset:1,Vihannekset:40,Paprikat:43,,0.0,,,,,,,
