Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
v parhaat maukkaat jyväviipaleet,Leipä:701,Tuore leipä:702,Kosteat täysjyväleivät:711,g,1373.0,6.8,49.0,11.0,1.0,13.0,,
latz 12x100g sensations herkku hyyt,Lemmikit:1337,Kissanruoat:1397,Kosteat kissan ruoat:1804,g,0.0,0.5,3.0,13.0,,,Kissan monipakkauspussit yli 8 kpl:1814,
taf hearts 235g maust maissisnacks,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Muotosnacksit:1215,g,2211.0,32.0,53.0,5.4,3.0,,,
rainbow 1l vaniljakermajäätelö,Pakasteet:1075,Jäätelöt:1136,Kotipakkaukset:1138,g,761.0,10.0,21.0,1.4,0.08,0.0,,14.0
jyväbroiler 450g bas-tom br fileep,Liha:80,"Broileri, kana & kalkkuna:186","Br. pihvit, leik. ja puolivalm.:190",g,460.0,3.0,1.0,20.0,0.93,0.2,,
atria 1kg n-p jauheliha,Liha:80,Jauheliha:167,Jauhelihat:168,g,1029.0,20.0,0.0,17.0,0.14,0.0,,
puikula 500g täysjyväruis ruisleipä,Leipä:701,Tuore leipä:702,Tummat palaleivät:710,g,1039.0,1.7,41.0,12.0,1.1,10.0,,
friggs 130g ohut chia&merisuo maiss,Leipä:701,Kuivaleivät:757,Maustetut riisikakut:762,g,1600.0,3.1,74.0,9.3,,7.5,,
marabou145g daim bites,"Makeiset, jäätelöt ja naposteltavat:1144",Karkkipussit:1155,Suklaamakeispussit ja -pakkaukset:1160,g,2134.0,27.0,61.0,5.3,0.82,1.7,,
lihapasteija,Leipä:701,Kaupan paistopiste:717,Välipalatuotteet:12530,g,1631.0,25.0,33.0,8.3,1.0,1.6,,
sne 750g sika-nauta jauheliha,Liha:80,Jauheliha:167,Jauhelihat:168,g,1150.0,23.0,0.0,17.0,0.1,,,
makea terttukirsikkatomat,Hedelmät ja vihannekset:1,Vihannekset:40,Tomaatit:41,g,95.0,0.1614,3.45,0.56,0.0,1.4,,
järvikylä min30g basilika,Hedelmät ja vihannekset:1,Yrtit:79,,g,168.0,0.8,5.0,3.1,0.0,3.9,,
saar 345ml memph smok bbq-kastike,Kuivatuotteet:895,Kastikkeet:957,Grill.-ja marin.kast:963,g,756.0,19.3,2.4,0.6,3.5,,,
