Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
knorr 570ml mausteinen tomaattikeit,Valmisruoka:497,Keitot:1797,Valmiit kasviskeitot:3085,g,218.0,2.7,5.8,1.2,0.7,1.0,,
suffeli bites pätkis 175g vohkeksi,Leipä:701,Keksit:767,Vohvelit:772,g,2257.0,32.0,56.0,7.1,0.32,,,
kariniemen 450g kp fileesuikale int,Liha:80,"Broileri, kana & kalkkuna:186",Broilerin suikaleet ja kuutiot:196,g,391.0,2.7,0.9,16.0,1.2,,,
kantarelli chips,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Perunalastut:1213,g,2217.0,33.0,51.0,5.6,1.4,,,
klementiini,Hedelmät ja vihannekset:1,Hedelmät:2,Sitrushedelmät:3,g,190.0,0.2,9.0,0.8,,1.9,Mandariinit:8,
cookie dough ice cream,Pakasteet:1075,Jäätelöt:1136,Kotipakkaukset:1138,g,1008.0,11.4,31.0,3.3,0.2,,,
atria 400g luomu n jauheliha 12%,Liha:80,Jauheliha:167,Jauhelihat:168,g,759.0,12.0,0.0,19.0,0.14,0.0,,
del monte 230g ananaspaloja mehussa,Kuivatuotteet:895,Säilykkeet:941,Hedelmä ja marjasäil:946,g,270.0,0.1,15.5,0.4,,,,
nix 45 g maapähkinä,Terveystuotteet:12129,Urheiluravinteet:12482,Urheiluravinnepatukat ja -geelit:12496,g,1753.0,17.0,38.0,32.0,0.5,,,
pepsi 1,Juomat:994,Virvoitusjuomat:1022,Colavirvoitusjuomat:1023,g,2.0,0.0,0.1,0.1,0.25,0.0,,
pätkis 320g suklaakonvehteja,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2297.0,34.0,53.0,8.3,0.23,,,
vesimeloni (palana),Hedelmät ja vihannekset:1,Hedelmät:2,Muut hedelmät:32,g,154.0,0.3,7.1,0.91,0.0,1.1,Melonit:12041,
karjala 4,Juomat:994,Oluet:1041,Vaalea lager olut:2961,g,161.0,0.0,3.0,0.3,,0.0,,
suklaa-appelsiinikrokantti 850 ml,Pakasteet:1075,Jäätelöt:1136,Kotipakkaukset:1138,g,439.0,3.9,15.0,1.7,0.08,,,
kn 200-400g savuklpala vak hin,Maito:351,Viilit:399,Maustamaton viili:402,g,170.0,1.0,4.8,3.0,0.1,,,
marabou 200g maitosuklaa,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2290.0,32.0,58.5,4.7,0.33,2.0,,
crème bonjour 240g cuisine tilli&si,Maito:351,Ruoanvalmistustuotteet:371,Ranskankermat kylmästä:1781,g,630.0,14.0,4.5,3.0,1.3,,,
